Year,Location,Winner,Navy_Total_Wins,Army_Total_Wins,Total_Ties
1890,West Point,Navy,1,0,0
1891,Annapolis,Army,1,1,0
1892,West Point,Navy,2,1,0
1893,Annapolis,Navy,3,1,0
1899,Philadelphia,Army,3,2,0
1900,Philadelphia,Navy,4,2,0
1901,Philadelphia,Army,4,3,0
1902,Philadelphia,Army,4,4,0
1903,Philadelphia,Army,4,5,0
1904,Philadelphia,Army,4,6,0
1905,Princeton,Tie,4,6,1
1906,Philadelphia,Navy,5,6,1
1907,Philadelphia,Navy,6,6,1
1908,Philadelphia,Army,6,7,1
1910,Philadelphia,Navy,7,7,1
1911,Philadelphia,Navy,8,7,1
1912,Philadelphia,Navy,9,7,1
1913,New York,Army,9,8,1
1914,Philadelphia,Army,9,9,1
1915,New York,Army,9,10,1
1916,New York,Army,9,11,1
1919,New York,Navy,10,11,1
1920,New York,Navy,11,11,1
1921,New York,Navy,12,11,1
1922,Philadelphia,Army,12,12,1
1923,New York,Tie,12,12,2
1924,Baltimore,Army,12,13,2
1925,New York,Army,12,14,2
1926,Chicago,Tie,12,14,3
1927,New York,Army,12,15,3
1930,New York,Army,12,16,3
1931,New York,Army,12,17,3
1932,Philadelphia,Army,12,18,3
1933,Philadelphia,Army,12,19,3
1934,Philadelphia,Navy,13,19,3
1935,Philadelphia,Army,13,20,3
1936,Philadelphia,Navy,14,20,3
1937,Philadelphia,Army,14,21,3
1938,Philadelphia,Army,14,22,3
1939,Philadelphia,Navy,15,22,3
1940,Philadelphia,Navy,16,22,3
1941,Philadelphia,Navy,17,22,3
1942,Annapolis,Navy,18,22,3
1943,West Point,Navy,19,22,3
1944,Baltimore,Army,19,23,3
1945,Philadelphia,Army,19,24,3
1946,Philadelphia,Army,19,25,3
1947,Philadelphia,Army,19,26,3
1948,Philadelphia,Tie,19,26,4
1949,Philadelphia,Army,19,27,4
1950,Philadelphia,Navy,20,27,4
1951,Philadelphia,Navy,21,27,4
1952,Philadelphia,Navy,22,27,4
1953,Philadelphia,Army,22,28,4
1954,Philadelphia,Navy,23,28,4
1955,Philadelphia,Army,23,29,4
1956,Philadelphia,Tie,23,29,5
1957,Philadelphia,Navy,24,29,5
1958,Philadelphia,Army,24,30,5
1959,Philadelphia,Navy,25,30,5
1960,Philadelphia,Navy,26,30,5
1961,Philadelphia,Navy,27,30,5
1962,Philadelphia,Navy,28,30,5
1963,Philadelphia,Navy,29,30,5
1964,Philadelphia,Army,29,31,5
1965,Philadelphia,Tie,29,31,6
1966,Philadelphia,Army,29,32,6
1967,Philadelphia,Navy,30,32,6
1968,Philadelphia,Army,30,33,6
1969,Philadelphia,Army,30,34,6
1970,Philadelphia,Navy,31,34,6
1971,Philadelphia,Army,31,35,6
1972,Philadelphia,Army,31,36,6
1973,Philadelphia,Navy,32,36,6
1974,Philadelphia,Navy,33,36,6
1975,Philadelphia,Navy,34,36,6
1976,Philadelphia,Navy,35,36,6
1977,Philadelphia,Army,35,37,6
1978,Philadelphia,Navy,36,37,6
1979,Philadelphia,Navy,37,37,6
1980,Philadelphia,Navy,38,37,6
1981,Philadelphia,Tie,38,37,7
1982,Philadelphia,Navy,39,37,7
1983,Pasadena,Navy,40,37,7
1984,Philadelphia,Army,40,38,7
1985,Philadelphia,Navy,41,38,7
1986,Philadelphia,Army,41,39,7
1987,Philadelphia,Army,41,40,7
1988,Philadelphia,Army,41,41,7
1989,East Rutherford,Navy,42,41,7
1990,Philadelphia,Army,42,42,7
1991,Philadelphia,Navy,43,42,7
1992,Philadelphia,Army,43,43,7
1993,East Rutherford,Army,43,44,7
1994,Philadelphia,Army,43,45,7
1995,Philadelphia,Army,43,46,7
1996,Philadelphia,Army,43,47,7
1997,East Rutherford,Navy,44,47,7
1998,Philadelphia,Army,44,48,7
1999,Philadelphia,Navy,45,48,7
2000,Baltimore,Navy,46,48,7
2001,Philadelphia,Army,46,49,7
2002,East Rutherford,Navy,47,49,7
2003,Philadelphia,Navy,48,49,7
2004,Philadelphia,Navy,49,49,7
2005,Philadelphia,Navy,50,49,7
2006,Philadelphia,Navy,51,49,7
2007,Baltimore,Navy,52,49,7
2008,Philadelphia,Navy,53,49,7
2009,Philadelphia,Navy,54,49,7
2010,Philadelphia,Navy,55,49,7
2011,Landover,Navy,56,49,7
2012,Philadelphia,Navy,57,49,7
2013,Philadelphia,Navy,58,49,7
2014,Baltimore,Navy,59,49,7
2015,Philadelphia,Navy,60,49,7
2016,Baltimore,Army,60,50,7
2017,Philadelphia,Army,60,51,7
2018,Philadelphia,Army,60,52,7
2019,Philadelphia,Navy,61,52,7
2020,West Point,Army,61,53,7
2021,East Rutherford,Navy,62,53,7
2022,Philadelphia,Army,62,54,7
2023,Foxborough,Army,62,55,7